"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @PodSaveAmerica: ""The entire election was fought over Hillary Clinton's emails and her ability to protect classified information, and [T…",FALSE,0,NA,2018-02-10 17:53:13,FALSE,NA,"962383968795545601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","georgefayner",666,TRUE,FALSE,NA,NA
"2","It took Trump's election to get people on the left to start singing the praises of north Korea.
This is a very rece… https://t.co/gIIf6G0PVi",FALSE,2,NA,2018-02-10 17:53:12,TRUE,NA,"962383968292270080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michaelmalice",1,FALSE,FALSE,NA,NA
"3","RT @FOXSoccer: ""We got a candidate we can unify behind.""

Athlete Council member @stuholden shares what was behind their decision to vote f…",FALSE,0,NA,2018-02-10 17:53:12,FALSE,NA,"962383966690004994",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hansgunner",7,TRUE,FALSE,NA,NA
"4","RT @realDonaldTrump: Without more Republicans in Congress, we were forced to increase spending on things we do not like or want in order to…",FALSE,0,NA,2018-02-10 17:53:11,FALSE,NA,"962383961434488832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RenaSummersLtd",25285,TRUE,FALSE,NA,NA
"5","RT @nytimes: President Trump appeared to express doubts about the #MeToo movement, saying, ""lives are being shattered and destroyed by a me…",FALSE,0,NA,2018-02-10 17:53:10,FALSE,NA,"962383959031144448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","glezgaby",174,TRUE,FALSE,NA,NA
"6","RT @Majid_Agha: Molana Sami-ul-Haq is now officially running for Senate election from Khyber Pakhtunkhwa. #PMLN MPA Arbab Waseem proposes h…",FALSE,0,NA,2018-02-10 17:53:10,FALSE,NA,"962383958490173440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sajid45542",47,TRUE,FALSE,NA,NA
"7","RT @TruthinGov2016: @realDonaldTrump @nytimes .@SebGorka: We need to understand the enormity of the #ObamaGate spying scandal: 1) It’s perv…",FALSE,0,NA,2018-02-10 17:53:09,FALSE,NA,"962383954828460032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoriJac47135906",33,TRUE,FALSE,NA,NA
"8","@MGongolewicz @APDiploWriter all of them in present Gov.of Poland are communists. Majority of Parliament (the party… https://t.co/0yNrB2taEL",FALSE,0,"MGongolewicz",2018-02-10 17:53:09,TRUE,"962376497356070917","962383952546811904","875273613842280448","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ewkapolak",0,FALSE,FALSE,NA,NA
"9","@election_data D. Enterprise (Whig) MP for Feathershoneshawe Valley East 1841-7. https://t.co/SMhhdW6KoF",FALSE,0,"election_data",2018-02-10 17:53:08,FALSE,"962382163042762753","962383950302781440","354197301","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sw19_womble",0,FALSE,FALSE,NA,NA
"10","RT @EdKrassen: Every election is important, but the 2018 Congressional elections are as important as they get. We need to take Congress bac…",FALSE,0,NA,2018-02-10 17:53:07,FALSE,NA,"962383947035426816",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","huskies0561",839,TRUE,FALSE,NA,NA
"11","Obama alumni are back – and they want to fight Trump | STATE Magazine https://t.co/WA4RgwCmvf",FALSE,0,NA,2018-02-10 17:53:07,FALSE,NA,"962383946628714496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Alexsupdates",0,FALSE,FALSE,NA,NA
"12","@R13579ric @EjHirschberger @GeorgiaDirtRoad @APTT45Babe @jimlibertarian @SharonLesley11 @LisaMei62 @DallasIrey… https://t.co/5LVD644enI",FALSE,0,"R13579ric",2018-02-10 17:53:07,TRUE,"962192608549310464","962383944535732224","2908236484","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShadyLadyMe",0,FALSE,FALSE,NA,NA
"13","RT @iowa_trump: Sorry libs - even with the constant #FakeNews Americans still know truth when we see it.    
31 %Democrats, 
87 %Republican…",FALSE,0,NA,2018-02-10 17:53:06,FALSE,NA,"962383941264080898",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bountyhunter789",3,TRUE,FALSE,NA,NA
"14","RT @ninabraca: remember when Tel Aviv rescheduled their election because of a Britney Spears concert https://t.co/K7z26GqCNe",FALSE,0,NA,2018-02-10 17:53:06,FALSE,NA,"962383941109010434",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lianaprinze",5,TRUE,FALSE,NA,NA
"15","RT @ScottAdamsSays: What do you call it when a British spy interferes with an American election? Answer: Russian collusion.",FALSE,0,NA,2018-02-10 17:53:06,FALSE,NA,"962383939716476928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","FindTruthUSA",3272,TRUE,FALSE,NA,NA
"16","RT @Public_Citizen: .@SenateMajLdr negotiated a budget deal that includes tax benefits for a horse racing association based in Kentucky tha…",FALSE,0,NA,2018-02-10 17:53:06,FALSE,NA,"962383939603189760",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lessandsee",63,TRUE,FALSE,NA,NA
"17","@Goss30Goss @SenGillibrand Or, maybe it's just me. Anything to add because we saw in the last election just what th… https://t.co/2wKwrt12Vx",FALSE,0,"HippieKat67",2018-02-10 17:53:05,TRUE,"962383674699284485","962383937925500928","2696444341","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HippieKat67",0,FALSE,FALSE,NA,NA
"18","@Niddaramaiah This doesn't make any sense @Niddaramaiah. Why will Rahul Gandhi take a dig at the CM of his very own… https://t.co/rt6F3Kjcwj",FALSE,0,"Niddaramaiah",2018-02-10 17:53:05,TRUE,"962347331789012993","962383935815610368","874190838888144900","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aryan_birewar",0,FALSE,FALSE,NA,NA
"19","There’s still time left to buy your ticket to the 2018 Election Year Kick-off reception with… https://t.co/5tV3FSIiKU",FALSE,0,NA,2018-02-10 17:53:04,FALSE,NA,"962383933404078081",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NassauDems",0,FALSE,FALSE,NA,NA
"20","The message trump voters delivered last election is heard loud and clear. https://t.co/CtXRJhEB98",FALSE,0,NA,2018-02-10 17:53:04,FALSE,NA,"962383932577677312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ajLIMELIGHT",0,FALSE,FALSE,NA,NA
"21","RT @KyDems: .@RepLindaBelcher knows the issues on education! Help us bring her to Frankfort for her special election on Feb. 20th! https://…",FALSE,0,NA,2018-02-10 17:53:03,FALSE,NA,"962383929364885505",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ErinAndando",3,TRUE,FALSE,NA,NA
"22","Nation with best Army suffering badly due to cheap Diplomacy for past 20 yr's.None of Govt has taken a tough stand… https://t.co/I2IS3lot5r",FALSE,0,NA,2018-02-10 17:53:02,TRUE,NA,"962383925640179712",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","hamsaankit",0,FALSE,FALSE,NA,NA
"23","@MSNBC @CNN The election is Null&amp;Void.  Why?

THE ELECTION WAS HACKED.  
THE ELECTION WAS HACKED 
THE ELECTION WAS… https://t.co/EdjzPsaepZ",FALSE,0,"MSNBC",2018-02-10 17:53:01,TRUE,NA,"962383920544100352","2836421","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Grracy",0,FALSE,FALSE,NA,NA
"24","RT @1776Stonewall: New poll shows that 50% of Americans believe that the Obama government tried to prevent Trump from winning the election.…",FALSE,0,NA,2018-02-10 17:53:01,FALSE,NA,"962383920200323072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","willis0291981",2605,TRUE,FALSE,NA,NA
"25","RT @nailainayat: Naya Pakistan: The pir of Bharchundi Sharif, Mian Mitho, infamous because of several cases of forced conversion of Hindu g…",FALSE,0,NA,2018-02-10 17:53:00,FALSE,NA,"962383918203920384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","humahoosyn",97,TRUE,FALSE,NA,NA
